Urban,YearBuilt,TrafficLanes,ADT,YEAR_ADT,ApproachWidth_M,StructureLength_M,RoadwayWidth_M,DECK_WIDTH_M,YEAR_RECON,AADTPERCENT,DeckArea_SQM,Latitude,Longitude,PPTIN,TMAXC,TMINC,SeismicHazard,BridgeCond
1,1963,2,3700,2016,11,10.4,11,18,0,0,190.32,32.50333,-97.09577,48.4237,24.878,12.8197,0.04709,S
1,1973,36,20000,2016,155.4,16.5,0,0,0,2,2564.1,32.52015,-97.02208,51.746,24.7063,12.5776,0.04784,U
1,1985,4,2387,2014,14.6,22.6,0,0,0,0,329.96,32.50496,-97.04027,50.6737,24.8127,12.6945,0.04745,U
1,1994,4,3400,2016,9.8,9.4,15.9,40,0,0,375.06,32.5826,-97.19564,49.2605,24.727,12.6106,0.04792,S
1,1987,2,500,2011,6.7,23.2,6.7,22,1995,0,498.8,32.52178,-97.11585,48.5551,24.8316,12.7661,0.0473,U
1,1968,2,1040,2016,8.8,10.1,8.8,11,0,0,114.13,32.49069,-97.14291,48.5505,24.8255,12.6898,0.04658,S
1,2014,2,100,2016,9.1,30.2,9.1,15,0,1,459.04,32.58128,-97.14092,48.9553,24.806,12.7738,0.04821,S
1,1968,5,3520,2015,18.3,18,18.3,21,1985,0,372.6,32.45366,-97.2704,52.2634,24.7495,12.2672,0.04525,U
1,1969,5,13420,2015,18.6,7.6,18.6,25,0,0,190,32.44303,-97.27068,52.5501,24.7712,12.3052,0.04508,U
1,1984,2,1760,2010,15.5,13.4,11.7,16,0,1,207.7,32.57552,-97.09356,49.6889,24.8987,12.8708,0.04838,U
1,1997,2,3880,2009,7,19.2,9.5,10,0,2,193.92,32.34001,-97.03577,52.3192,24.8278,12.4676,0.04504,S
1,1935,2,1430,2009,6.1,7.6,9.9,10,0,0,79.8,32.33197,-97.09598,51.348,24.842,12.6252,0.04452,S
1,1986,2,11460,2010,14.6,15.9,14.6,21,0,0,332.31,32.52288,-97.14342,48.7956,24.7948,12.6852,0.04715,U
1,1976,4,15000,2016,14.6,17.7,14.6,23,2018,0,412.41,32.42305,-97.02388,49.5906,24.4444,12.3529,0.0463,S
1,2005,2,1850,2015,11,8.2,11,14,0,1,113.98,32.34025,-97.21386,55.1423,24.8823,12.4891,0.04387,S
1,2005,2,400,2016,9.1,13.4,0,0,0,1,121.94,32.33512,-97.2222,56.0117,24.8983,12.4633,0.04375,S
1,1988,2,50,2016,9.1,7,0,0,0,60,63.7,32.5241,-97.22117,50.4434,24.7675,12.5266,0.04672,S
1,2013,5,2000,2016,21.6,14,0,0,0,1,302.4,32.56226,-97.16526,48.9667,24.7474,12.6635,0.04773,S
1,1982,7,22837,2014,21.9,14.9,25.6,36,1999,0,534.91,32.41277,-97.24431,52.8484,24.8137,12.412,0.04476,U
1,1978,4,6327,2014,15.9,7.6,15.9,37,0,0,278.16,32.45162,-97.30127,52.3922,24.7688,12.2499,0.04503,U
1,2002,2,50,2016,8.5,6.7,8.5,18,0,0,118.59,32.57351,-97.16478,48.9328,24.7465,12.6767,0.04793,S
1,2004,2,50,2016,12.2,14.9,12.2,18,0,0,272.67,32.55058,-97.22,49.9574,24.7634,12.5672,0.0472,S
1,2002,2,50,2016,8.5,12.8,0,0,0,0,108.8,32.54291,-97.17302,49.155,24.7555,12.6363,0.04734,S
1,1976,2,1320,2016,13.1,7,13.1,19,0,0,134.4,32.4116,-97.22518,52.2019,24.8059,12.4215,0.04485,U
1,2001,2,50,2014,8.5,6.7,0,0,0,0,56.95,32.51242,-97.23387,50.8906,24.7496,12.4617,0.04644,S
1,2000,2,5610,2014,8.8,12.8,8.8,10,0,0,122.88,32.37453,-97.18158,51.221,24.8374,12.55,0.04455,S
1,2006,2,220,2016,7.6,21.6,7.6,18,0,0,395.28,32.36173,-97.19017,52.4868,24.8494,12.5448,0.04432,S
1,1965,2,2177,2014,9.1,13.1,9.1,15,0,3,199.12,32.41294,-97.22579,52.1744,24.8041,12.4172,0.04487,U
1,2004,2,50,2016,8.8,16.5,0,0,0,0,145.2,32.46547,-97.17405,49.5436,24.7971,12.5581,0.046,S
1,2000,2,1500,2016,11,9.4,0,0,0,0,103.4,32.54069,-97.16406,49.0272,24.7529,12.6422,0.04735,S
0,2007,4,18845,2015,23.2,12.8,0,0,0,10,296.96,33.1351,-97.38333,46.0909,24.3903,11.8727,0.06206,U
0,1954,2,4660,2013,7,9.8,7.3,8,0,19,75.46,33.05212,-97.33314,48.0928,24.6524,12.1829,0.05943,U
0,1935,2,3260,2013,12.8,7,0,0,1967,5,89.6,33.22274,-97.49043,44.029,23.9814,11.3889,0.0647,U
0,1959,2,1670,2013,7.9,11.3,7.9,18,2017,10,206.79,33.04205,-97.41316,46.331,24.4974,11.9097,0.05863,S
0,1929,2,840,2013,13.4,6.7,13.2,14,1967,29,92.46,33.34432,-98.33438,34.0348,24.484,10.9706,0.06229,U
0,1929,2,4290,2013,12.8,10.4,13.3,14,1991,13,145.6,33.38203,-98.27146,34.3786,24.3618,10.9518,0.06459,U
0,1947,2,1320,2013,13.4,7,13.4,26,0,14,182.7,33.2416,-98.27106,35.7693,24.5103,10.992,0.05895,S
0,1964,2,740,2013,6.7,7.6,8.5,9,0,43,71.44,33.48273,-98.29067,34.0612,24.307,10.8076,0.06895,U
0,2005,2,20,2010,5.2,9.8,7.2,8,0,0,77.42,33.29463,-98.54366,32.9426,24.7288,10.6259,0.05785,U
0,1929,2,2320,2013,13.4,7.9,14.6,15,1951,20,120.08,33.40101,-99.08409,29.6102,24.7141,10.5261,0.05397,U
0,1950,2,110,2013,6.1,7.9,6.1,8,0,5,66.36,33.28089,-99.05493,29.2366,24.7726,10.5909,0.05092,U
0,1959,2,20,2013,6.1,9.4,6.1,14,0,4,129.72,33.33264,-99.26315,28.4207,24.8356,10.5113,0.04971,S
0,1934,2,3080,2013,13.1,13.4,13.7,14,1965,18,194.3,33.48516,-98.09523,34.7306,24.0332,11.0004,0.07139,U
0,1940,2,1020,2013,14,7,14.1,18,2009,28,127.4,33.29184,-97.59291,42.726,23.7305,11.2276,0.0668,S
0,1947,2,640,2013,7.3,21.3,0,0,0,29,155.49,33.35197,-98.11595,35.9232,24.2946,10.8998,0.06491,U
